,rank_val_score,mean_val_score,std_val_score,mean_train_score,std_train_score,activation,batch_size,epochs,neurons_layer_1,neurons_layer_2,neurons_layer_3,dropout_1,dropout_2,learning_rate,dropout_3,neurons_layer_4,kernel_size,mean_fit_time
43,63,-0.6189788579940796,0.041694528743678905,-0.6297007203102112,0.0485546541081765,relu,256,20,256,128,64,0.5,0.5,0.001,0.3,32,26,219.59093435605368
2,64,-0.5881872574488322,0.03842382800627874,-0.6032939354578654,0.05971497674251859,relu,128,20,256,128,64,0.5,0.5,0.01,0.3,32,5,281.5885325272878
35,65,-0.5610518852869669,5.407956570491365e-05,-0.5610518852869669,2.7029127343906353e-05,relu,128,20,256,128,64,0.5,0.3,0.01,0.1,32,26,240.53172381718954
53,65,-0.5610518852869669,5.407956570491365e-05,-0.5610518852869669,2.7029127343906353e-05,relu,256,20,256,128,64,0.5,0.5,0.01,0.1,32,26,215.22290857632956
44,65,-0.5610518852869669,5.407956570491365e-05,-0.5610518852869669,2.7029127343906353e-05,relu,256,20,256,128,64,0.5,0.5,0.01,0.3,32,26,195.83619904518127
26,65,-0.5610518852869669,5.407956570491365e-05,-0.5610518852869669,2.7029127343906353e-05,relu,128,20,256,128,64,0.5,0.3,0.01,0.3,32,26,223.6783299446106
17,65,-0.5610518852869669,5.407956570491365e-05,-0.5610518852869669,2.7029127343906353e-05,relu,128,20,256,128,64,0.5,0.5,0.01,0.1,32,26,216.03240656852722
71,65,-0.5610518852869669,5.407956570491365e-05,-0.5610518852869669,2.7029127343906353e-05,relu,256,20,256,128,64,0.5,0.3,0.01,0.1,32,26,206.84857487678528
62,71,-0.5597305297851562,0.001873235015784947,-0.5610518852869669,2.7029127343906353e-05,relu,256,20,256,128,64,0.5,0.3,0.01,0.3,32,26,224.24760429064432
8,72,-0.5369119842847189,0.03409037426526335,-0.5405695537726084,0.028990698111355274,relu,128,20,256,128,64,0.5,0.5,0.01,0.3,32,26,258.9158048629761
